Id,Followers,Following,Retweet Count,is_retweet,is_mention,Betweenness,Degree,Closeness,Influence Score
Shahzebalvi4,1385.0,665.0,5.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,10852.455912329053
DGue22,944.0,2620.0,1.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,10751.316340329051
franchescojpr,759.0,3293.0,4.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,10481.21148832905
diypotus,1301.0,799.0,0.0,0.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,10464.054340329052
braedalibby,1179.0,1328.0,1.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,10417.78893532905
zahdehz,370.0,5005.0,1.0,0.5,0.0,0.0,0.0009881422924901185,0.0009881422924901185,10372.68983332905
ljaynekeen,594.0,3972.0,304.0,1.0,0.0,0.0,0.0009881422924901185,0.0017786561264822131,10368.286397627862
MontyTheHorse12,597.0,3856.0,79.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,10205.39723732905
DakotaSidwell,1054.0,1749.0,49.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,10184.00217332905
PeterRiebeek1,921.0,2248.0,19.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,10012.646169329051
CLHoxstone,1000.0,1867.0,3.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,9982.76472532905
silviocolloca,890.0,2303.0,242.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,9882.47076932905
Carolho93444463,619.0,3526.0,1.0,1.0,0.0,0.0,0.0009881422924901185,0.0013175230566534913,9848.950465870223
AnginaBC,1231.0,695.0,232.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,9811.305982329051
AnonymePatriot,1011.0,1560.0,304.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,9591.620509329052
ross_ving,1057.0,1311.0,0.0,0.0,0.0,0.0,0.0009881422924901185,0.0013175230566534913,9526.191128870223
BrotherLeeLuv,913.0,1929.0,17.666666666666668,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,9462.019252329048
Kav7LxC8LDH1aEd,971.0,1635.0,0.0,0.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,9417.85523032905
shintou0303,982.0,1577.0,4.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,9406.15884732905
SunshineandHap,925.0,1717.0,12.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,9218.80261432905
EldenCatlord,1071.0,930.0,838.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,9052.68520332905
VivekanandMaity,194.0,4855.0,22.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,8892.650281329052
TeresaKAlley,717.0,2458.0,1.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,8890.56471932905
dianesheldon5,810.0,2005.0,6.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,8848.93548332905
MIKE131720,900.0,1563.0,407.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,8811.11608932905
NatashaFiona46,972.0,1226.0,31.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,8792.382854329051
