Id,Date Created,Number of Likes,Source of Tweet,Tweet,Followers,Following,Retweet Count
NikkhahTourage,2023-02-11 02:46:11+00:00,1,Twitter Web App,"😂😂😂😂 🤣  🤣  🤣  ✡️
#ApartheidIsrael 
Puppet of #Ukraine 
 #CIA/#ISIS/#NATO #Poland 
#Palestine  #Zelensky… https://t.co/Qoo6OTxvxZ",90,87,0
FabioGhironi,2023-02-11 02:46:02+00:00,0,Twitter Web App,"RT @kajakallas: Our goal is to help push #Russia out of Ukraine, ensure accountability for crime of aggression and end Russia's imperialist…",18551,3534,1163
darealshadow,2023-02-11 02:46:01+00:00,0,Twitter for Android,RT @lesiavasylenko: 61/71 missiles #russia launched were downed by #Ukraine air defence. 6 infrastructure targets hit nonetheless. We need…,101,60,110
ungubunugu1274,2023-02-11 02:45:53+00:00,0,Twitter for Android,"RT @RoINTEL: Half of #Russia's heavy tanks may have been destroyed or captured by #Ukraine, a Pentagon official said https://t.co/FNPaNCWUsO",3810,3458,2
IiiLandon,2023-02-11 02:45:30+00:00,0,Twitter for Android,RT @GordonGChang: This is not a drill. We’re now playing for keeps. #China #Russia,2379,722,195
YouCanFoolMost,2023-02-11 02:45:29+00:00,0,GetReal360,"RT @TycoonTom: @gatewaypundit ""Roseanne Barr"" is a cousin of William Barr
Former United States Attorney General🧑‍⚖️The former AG William Ba…",2506,240,1
cosmila_2020,2023-02-11 02:45:22+00:00,0,Twitter for Android,RT @ChinasaNworu: Former #Israeli leader Naftali Bennett says he received a pledge from #Russia's President #Putin: ‘I won’t kill Zelenskyy…,405,2031,542
thepotatoemoji,2023-02-11 02:45:22+00:00,1,Twitter for iPhone,"Who knew that in 2023, our “fearless leader” would be battling balloons…🎈
#Pentagon #Biden #Balloon #UFO #Trump… https://t.co/ab3HlKsFZK",11,1,0
cookmonika2022,2023-02-11 02:45:19+00:00,0,Twitter Web App,"RT @nexta_tv: #Poland has proposed to create a ""team of refugees,"" in which dissidents from #Russia and #Belarus, opposing the Putin and Lu…",272,1238,95
JohonanG,2023-02-11 02:45:04+00:00,0,Twitter for Android,"RT @ThierryGooseBC: Yesterday we set both the lowest and highest temperatures for February 2023 worldwide.

🥶 -57.9°C in Oymyakon, Siberia,…",47,98,12
MIKE131720,2023-02-11 02:44:43+00:00,0,Twitter for Android,"RT @Finanzas_Times: Los términos de la invasión de 🇺🇦 #Ucrania #Ukraine por parte de 🇷🇺 #Rusia #Russia están pactados de antemano.

También…",900,1563,407
NaukatN,2023-02-11 02:44:42+00:00,0,Twitter for Android,RT @GNganjani: Why i stand with Russia and Putin and everything they doing #UkraineRussianWar  #Ukraine #Russia #Moscow #politics  #NATO ht…,13,145,10
paul_szafranski,2023-02-11 02:44:25+00:00,0,Twitter for Android,RT @GordonGChang: This is not a drill. We’re now playing for keeps. #China #Russia,39,292,195
lindabrown7777,2023-02-11 02:44:24+00:00,0,Twitter Web App,"RT @Antiwarcom: Former Israeli PM Bennett Says US ‘Blocked’ His Attempts at a Russia-Ukraine Peace Deal
Bennett says the US and its Western…",300,1061,1098
darealshadow,2023-02-11 02:44:21+00:00,0,Twitter for Android,RT @lesiavasylenko: 17 hits on #Zaporizhzhia alone within one hour this night. And more to come across all #Ukraine as #russia launches a m…,101,60,128
XAEA129,2023-02-11 02:44:18+00:00,0,Twitter Web App,"@GeorgeSirdar Q. What do you call a Russian soldier that's had both legs blown off ?
A. Oleg !!!! 
#Russia #Putin… https://t.co/IDyxbpogr9",32,176,0
SaadaanT,2023-02-11 02:44:08+00:00,0,Twitter for Android,RT @GNganjani: Why i stand with Russia and Putin and everything they doing #UkraineRussianWar  #Ukraine #Russia #Moscow #politics  #NATO ht…,12,5,10
GueberB,2023-02-11 02:44:02+00:00,0,Twitter for Android,"CRISIS #Ucrania #Rusia #Russia #Ukraine 🇷🇺🇺🇦
67.000.000.000,00€
67 billones de euros la UE🇪🇺 asignó a Ucrania desde… https://t.co/Jh3cDnBRhg",15024,14399,0
rubenrpduarte,2023-02-11 02:43:46+00:00,0,Twitter for iPhone,RT @igorsushko: CNN in #Portugal. Misspelled Zelensky's name and labeled him President of #Russia. https://t.co/ZYdDbHnVFp,5,122,66
Crusader4Justi1,2023-02-11 02:43:45+00:00,0,Twitter for Android,"RT @GeorgeSirdar: Putin says 95% of Global Terrorism is done by the CIA 

#Russia #Iran #India #Putin #USA #Biden #Germany #NATO #Ukraine #…",113,265,27
pilthon666,2023-02-11 02:43:44+00:00,0,Twitter for Android,RT @JasonMBrodsky: Mind boggling. A military attaché from #Ukraine in #Iran attended the anniversary of Islamic Revolution ceremony this we…,46,106,45
brenthunt777,2023-02-11 02:43:14+00:00,0,Twitter for Android,"Great topics! #RUSSIA #Ukraine

https://t.co/uJGYzoVfX7",1186,2032,0
Tian_A1,2023-02-11 02:43:10+00:00,0,Tiana1,[ https://t.co/eNJBm7UMaE ] US #Stock market opens Friday lower.Crude prices up more than 1.4 amid reports that… https://t.co/XsxrkcJbHI,1815,886,0
SaadaanT,2023-02-11 02:43:08+00:00,0,Twitter for Android,"RT @crouchendcom: Here is the real  Mr Z
Cocaine Addict and War Criminal

#UkraineRussianWar 
#Russia
#ZelenskyWarCriminal https://t.co/9mW…",12,5,27
Faulken87094189,2023-02-11 02:43:06+00:00,0,Twitter for iPhone,RT @igorsushko: CNN in #Portugal. Misspelled Zelensky's name and labeled him President of #Russia. https://t.co/ZYdDbHnVFp,735,720,66
OrioliAlberto,2023-02-11 02:42:55+00:00,0,Twitter Web App,RT @igorsushko: CNN in #Portugal. Misspelled Zelensky's name and labeled him President of #Russia. https://t.co/ZYdDbHnVFp,9515,9713,66
JudyWoods8,2023-02-11 02:57:52+00:00,0,Twitter for iPhone,"RT @igorsushko: #Russia: Bread line 🍞 of Ukrainians who weren't imprisoned or executed in fascist-occupied #Mariupol. 
Welcome to Russkiy M…",7633,7865,282
anchorjiya,2023-02-11 02:57:45+00:00,0,Twitter for iPhone,"RT @ABPNews: Watch: पुतिन मेट डोभाल...पाकिस्तान का बुरा हाल?, आतंकवाद से लेकर अफगानिस्तान के मुद्दे पर चर्चा 

@anchorjiya 

https://t.co/s…",9898,147,4
AndriyBoguslav,2023-02-11 02:57:41+00:00,0,Twitter for iPhone,"RT @EmineDzheppar: Had a fruitful meeting with @coe Human Rights Commissioner @Dunja_Mijatovic.
We discussed the situation in #Crimea and #…",1169,71,39
Voevoda_BY,2023-02-11 02:57:40+00:00,0,Twitter Web App,RT @oryxspioenkop: #UkraineWar: #Russia is now visually confirmed to have lost 50 T-90 MBTs since it launched its invasion of #Ukraine on F…,411,113,223
NikkhahTourage,2023-02-11 02:57:39+00:00,1,Twitter Web App,"They will send you to take holocaust class ...
Just dont mention a word about occupation of
#Palestine… https://t.co/gIcNxEHgCM",90,87,0
