,Id1,Id2,Interaction
273,YouCanFoolMost,TycoonTom,RT
273,YouCanFoolMost,gatewaypundit,RT
273,YouCanFoolMost,TycoonTom,RT
273,YouCanFoolMost,gatewaypundit,RT
274,cosmila_2020,ChinasaNworu,RT
276,cookmonika2022,nexta_tv,RT
277,JohonanG,ThierryGooseBC,RT
278,MIKE131720,Finanzas_Times,RT
279,NaukatN,GNganjani,RT
280,paul_szafranski,GordonGChang,RT
281,lindabrown7777,Antiwarcom,RT
282,darealshadow,lesiavasylenko,RT
283,XAEA129,GeorgeSirdar,Mention
284,SaadaanT,GNganjani,RT
286,rubenrpduarte,igorsushko,RT
287,Crusader4Justi1,GeorgeSirdar,RT
288,pilthon666,JasonMBrodsky,RT
291,SaadaanT,crouchendcom,RT
292,Faulken87094189,igorsushko,RT
293,OrioliAlberto,igorsushko,RT
294,JudyWoods8,igorsushko,RT
295,anchorjiya,ABPNews,RT
295,anchorjiya,anchorjiya,RT
295,anchorjiya,ABPNews,RT
295,anchorjiya,anchorjiya,RT
296,AndriyBoguslav,EmineDzheppar,RT
296,AndriyBoguslav,coe,RT
296,AndriyBoguslav,Dunja_Mijatovic,RT
296,AndriyBoguslav,EmineDzheppar,RT
296,AndriyBoguslav,coe,RT
296,AndriyBoguslav,Dunja_Mijatovic,RT
296,AndriyBoguslav,EmineDzheppar,RT
296,AndriyBoguslav,coe,RT
296,AndriyBoguslav,Dunja_Mijatovic,RT
297,Voevoda_BY,oryxspioenkop,RT
299,Santin16Giorgio,sandumaiamd,Mention
300,VivekanandMaity,The5HbK,RT
301,BrotherLeeLuv,WhereisRussia,RT
302,klebebrasil,OnePaul87,RT
303,johnnyh92539958,YouTube,Mention
304,Amitochondrio,HannahBree72,RT
305,Carolho93444463,AlympiyaChowdh1,RT
306,OlehOstrowsky,lesiavasylenko,RT
307,tatersngravy_71,nyprepper1,Mention
307,tatersngravy_71,newsklw,Mention
307,tatersngravy_71,nyprepper1,Mention
307,tatersngravy_71,newsklw,Mention
308,deirtagge,ejmalrai,RT
309,deirtagge,ejmalrai,RT
310,LaylaGorka,nexta_tv,RT
311,MAMARTINEZNica,MAMARTINEZNica,RT
312,tommyT2T23,GordonGChang,RT
313,cleary_clearly,GordonGChang,RT
315,Santin16Giorgio,RaufHabibov,Mention
315,Santin16Giorgio,sandumaiamd,Mention
315,Santin16Giorgio,EmmanuelMacron,Mention
315,Santin16Giorgio,NATO,Mention
315,Santin16Giorgio,RaufHabibov,Mention
315,Santin16Giorgio,sandumaiamd,Mention
315,Santin16Giorgio,EmmanuelMacron,Mention
315,Santin16Giorgio,NATO,Mention
315,Santin16Giorgio,RaufHabibov,Mention
315,Santin16Giorgio,sandumaiamd,Mention
315,Santin16Giorgio,EmmanuelMacron,Mention
315,Santin16Giorgio,NATO,Mention
315,Santin16Giorgio,RaufHabibov,Mention
315,Santin16Giorgio,sandumaiamd,Mention
315,Santin16Giorgio,EmmanuelMacron,Mention
315,Santin16Giorgio,NATO,Mention
316,Richard24856748,lesiavasylenko,RT
317,jessecox1953,GordonGChang,RT
